,months_as_customer,policy_deductable,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,injury_claim,property_claim,vehicle_claim,policy_annual_premium,policy_csl,insured_sex,insured_education_level,incident_severity,property_damage,police_report_available,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police
0,1.0775867023028378,-0.30583732397491725,-0.49904555884597734,1.0314271108995472,0.9395830568967751,-1.0096514790109534,-0.8405965588113357,0.01232877869092183,0.5230029801552721,-0.22671966382513692,1.1144963895815958,0.7107621416428548,1406.91,2.5,1,6,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,0.21021597054808241,1.2954052099251732,1.5837823161372335,-0.8790080755026138,0.9395830568967751,-0.565913647626122,-0.8405965588113357,-1.2205490904012601,-1.299307055228951,-1.3777134563243698,-1.3641422848276512,-1.8267411454507358,1197.22,2.5,1,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
2,-0.6051125173013876,1.2954052099251732,1.5837823161372335,0.3790833887134435,0.9395830568967751,-0.7138262580877324,1.1188359792104257,1.2452066477831039,1.4341579978473835,0.012317441423394873,-0.7424575846285999,-0.8032762618978546,1413.14,1.0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
3,0.4530797754394139,1.2954052099251732,2.0003478911338757,0.8737176396018079,-1.3196392875763079,-1.0096514790109534,-0.8405965588113357,0.01232877869092183,0.5230029801552721,-0.26086782171778433,-0.23822471704044423,0.6397099598341811,1415.74,2.5,0,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
4,0.21021597054808241,-0.30583732397491725,2.0003478911338757,1.4866339939634767,-0.7258693124263309,1.2090376779132044,-0.8405965588113357,-1.2205490904012601,-0.38815203753683947,-1.2732602674762719,-1.390467695585266,-1.7724071240676322,1583.91,5.0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
5,0.4530797754394139,-0.30583732397491725,-0.49904555884597734,-0.8790080755026138,0.9395830568967751,1.0611250674515937,1.1188359792104257,-1.2205490904012601,0.5230029801552721,-0.2468068155266942,-0.22404949586326717,0.6689667405789291,1351.1,2.5,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
6,-0.5790913953487449,-0.30583732397491725,-0.49904555884597734,-0.8790080755026138,-1.8482393874049459,-1.749214531319006,1.1188359792104257,-1.2205490904012601,-1.299307055228951,2.7743008003875227,-0.07419715770453818,0.6047063114431432,1333.35,2.5,1,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,-0.33622759045741346,-0.30583732397491725,-0.49904555884597734,-0.8790080755026138,0.9395830568967751,1.6527755092980358,1.1188359792104257,1.2452066477831039,0.5230029801552721,0.3497815900095574,0.3773848883683884,-0.29493969645785795,1137.03,1.0,1,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,-1.5331992002789758,-1.1064585909249625,-0.49904555884597734,-0.8790080755026138,0.9395830568967751,1.3569502883748148,-0.8405965588113357,0.01232877869092183,-0.38815203753683947,-0.9779791374633796,-0.9611609970764747,-0.8523858581479673,1442.99,1.0,0,7,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
9,0.07143665346732156,-1.1064585909249625,-0.49904555884597734,-0.8790080755026138,-0.48329255428579154,0.32156201514354116,-0.8405965588113357,1.2452066477831039,-0.38815203753683947,-0.5902971096233239,-0.5703298989057355,-0.29128259886476443,1315.68,1.0,1,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
